customer_id,company_name,segment,country,signup_date
486,"Peck, Greene and Harding",Enterprise,UK,2024-08-08
487,Cook-Bell,Mid-Market,Canada,2025-06-24
488,"Chen, Caldwell and Ballard",SMB,Canada,2024-08-31
489,Stephens LLC,Enterprise,USA,2025-03-05
490,Gross Ltd,SMB,Canada,2024-03-05
491,Stone-Lowe,SMB,Canada,2025-07-02
492,"Conrad, Shelton and Barrett",Mid-Market,USA,2024-09-04
493,Long Ltd,Mid-Market,USA,2024-01-02
494,Morrow Inc,Mid-Market,Canada,2025-03-02
495,"Foster, Smith and Wyatt",SMB,Australia,2025-06-20
496,"Dominguez, Love and Mendez",Enterprise,USA,2025-06-22
497,"Conway, Rodriguez and Stephens",SMB,USA,2025-06-03
498,Cortez-Giles,Mid-Market,Canada,2025-04-26
499,Carroll-Edwards,Mid-Market,Canada,2025-01-17
500,"Henson, Newman and Crawford",Enterprise,Canada,2024-03-10
